Geologycal_age,Domain,Rock_type,Country,Age  (Ma),error (Ma),Longitude (X),Latitude (Y),SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O+,LOI,SUM (no water),Nb_xrf,Zr_xrf,Y_xrf,Sr_xrf,Rb_xrf,Pb_xrf,Ga_xrf,Zn_xrf,Cu_xrf,Ni_xrf,Co_xrf,Cr_xrf,V_xrf,Ba_xrf,Sc_xrf,La/Sm,La/Yb,Sr/Y,Sm/Yb,Dy/Yb
Quaternary,Paracas,andesite,Peru,1.62,0.03,-73.336,-15.136,58.9,1.13,16.5,5.85,0.07,2.25,5.2,5.06,2.89,0.56,,,98.41,8,248,13,1219,58,12,22,112,61,16,12,27,132,1537,10,7.6,79.4,93.8,10.4,3.4
Quaternary,Paracas,andesite,Peru,,,-73.347,-15.2,62.9,0.83,16.5,4.97,0.08,1.97,4.35,4.76,2.99,0.34,,,99.69,7,238,13,763,70,17,23,93,50,12,15,27,104,1257,8,6.3,32.8,58.7,5.2,2.1
Quaternary,Paracas,andesite,Peru,,,-73.419,-15.252,60.6,1.02,16.4,5.59,0.08,2.24,4.82,5,3,0.47,,,99.22,9,234,16,1030,80,15,22,109,54,21,14,36,121,1280,8,6.9,36.3,64.4,5.3,2.3
Quaternary,Paracas,rhyolite,Peru,,,-73.366,-15.271,65,0.41,15.3,2.57,0.04,0.97,2.6,3.99,3.65,0.15,,,94.69,7,199,10,535,81,13,20,64,24,3,2,7,42,1164,6,6.2,29.5,53.5,4.8,1.9
Quaternary,Paracas,rhyolite,Peru,,,-73.548,-15.314,68.6,0.36,15.1,2.43,0.05,0.62,2.29,4.43,3.62,0.15,,,97.65,11,171,10,479,104,12,19,53,16,4,8,6,43,986,5,6.9,30.6,47.9,4.4,1.9
Quaternary,Paracas,dacite,Peru,,,-73.345,-15.332,65.4,0.66,15.8,3.72,0.06,1.29,3.31,4.86,3.21,0.29,,,98.6,9,191,9,697,83,12,22,79,39,7,6,15,77,1100,6,7.6,62.7,77.4,8.3,3
Quaternary,Paracas,dacite,Peru,,,-73.567,-15.364,68.9,0.44,15.7,2.73,0.05,0.73,2.49,4.78,3.53,0.19,,,99.53,10,200,12,529,98,14,20,66,30,2,6,8,40,1070,0,6.4,38.9,44.1,6.1,2.6
Quaternary,Paracas,andesite,Peru,0.66,0.01,-72.997,-15.341,58.9,1.22,16.9,6.56,0.08,2.88,5.64,4.76,2.41,0.48,,,99.84,5,205,15,975,43,5,21,99,45,30,47,47,133,1110,12,5.4,42.7,65,7.8,3.2
Quaternary,Paracas,dacite,Peru,0.45,0.01,-73.062,-15.354,66.4,0.59,15.7,3.47,0.05,1.23,3.17,4.53,3.46,0.25,,,98.85,9,214,11,614,97,16,21,58,27,9,60,17,67,1222,9,6.7,44.4,55.8,6.7,2.7
Quaternary,Paracas,dacite,Peru,,,-73.057,-15.373,67.4,0.58,15.7,3.4,0.05,1.18,3.02,4.6,3.59,0.24,,,99.76,9,213,11,587,99,11,21,64,4,7,28,13,67,1246,7,6.5,43.7,53.4,6.7,2.7
