SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5
58.9,1.13,16.5,5.85,0.07,2.25,5.2,5.06,2.89,0.56
62.9,0.83,16.5,4.97,0.08,1.97,4.35,4.76,2.99,0.34
60.6,1.02,16.4,5.59,0.08,2.24,4.82,5,3,0.47
65,0.41,15.3,2.57,0.04,0.97,2.6,3.99,3.65,0.15
68.6,0.36,15.1,2.43,0.05,0.62,2.29,4.43,3.62,0.15
65.4,0.66,15.8,3.72,0.06,1.29,3.31,4.86,3.21,0.29
68.9,0.44,15.7,2.73,0.05,0.73,2.49,4.78,3.53,0.19
58.9,1.22,16.9,6.56,0.08,2.88,5.64,4.76,2.41,0.48
66.4,0.59,15.7,3.47,0.05,1.23,3.17,4.53,3.46,0.25
67.4,0.58,15.7,3.4,0.05,1.18,3.02,4.6,3.59,0.24
59.5,1.17,16.7,6.09,0.08,2.54,5.24,4.58,2.7,0.49
67.3,0.58,16.1,3.3,0.05,1.02,2.89,4.74,3.33,0.24
58.37,1.01,16.77,6.19,0.09,2.74,5.54,5.12,3.02,0.6
58.32,1.09,16.49,6.4,0.09,2.7,5.27,4.24,3.35,0.51
56.2,1.42,16.49,7.12,0.8,3.7,6,4.17,3.13,0.78
59.21,1.12,17.3,6.47,0.7,2.31,5.6,4.86,2.94,0.56
55.7,1.34,16.7,7.35,0.1,3.24,6.27,4.76,2.49,0.66
60.54,1.12,16.76,5.61,0.07,2.34,4.97,4.84,2.87,0.5
63.87,0.92,15.89,4.95,0.07,1.88,4.23,4.83,3.08,0.41
,,,,,,,,,
62.42,0.92,16.6,5.16,0.5,2,4.45,4.66,3.5,0.38
59.8,1.5,16.93,5.91,0.6,2.35,5.1,4.78,2.93,0.43
55.68,1.25,16.96,7.24,0.8,3.5,6.66,5.14,2.61,0.62
58.23,1.7,17.19,6.51,0.7,2.13,4.9,4.74,3.17,0.54
61.2,0.98,16.5,5.44,0.08,2.21,4.74,4.81,2.99,0.43
67.3,0.59,15.2,3.44,0.05,1.12,2.88,3.97,4.35,0.22
62.4,0.94,16.1,5.16,0.07,1.97,4.35,4.41,3.35,0.37
60.4,1.09,16.7,5.93,0.08,2.36,5.09,4.71,2.88,0.44
59.3,1.17,16.8,6.29,0.08,2.55,5.34,4.9,2.7,0.49
61.4,0.98,16.2,5.46,0.08,2.1,4.62,4.59,3.21,0.39
64.3,0.89,15.7,4.73,0.07,1.82,4.08,4.58,3.02,0.33
58.12,1.17,16.7,6.29,0.08,2.63,5.67,4.91,2.63,0.62
56.44,1.33,16.88,6.93,0.09,3.36,6.54,4.74,2.18,0.58
58.5,1.13,16.79,6.14,0.08,2.5,5.39,5.01,2.7,0.6
59,1.17,16.7,6.19,0.09,2.48,5.54,5.06,2.9,0.55
58.1,1.15,16.6,6.2,0.08,2.59,5.87,4.81,2.73,0.56
57.8,1.26,17,6.82,0.09,2.96,6.02,4.98,2.54,0.55
56.54,1.28,17.02,7.23,0.09,3.66,6.69,4.26,1.88,0.42
56.7,1.3,17.64,6.68,0.09,2.97,6.2,4.4,2.13,0.52
56.7,1.26,17.03,6.87,0.09,3.05,6.32,4.66,2.23,0.55
63.87,0.8,16.49,4.72,0.06,1.85,4.2,4.56,3.21,0.31
58.98,1.13,16.76,6.58,0.09,3.22,6.06,4.38,2.51,0.47
57.54,1.21,16.81,6.72,0.08,2.89,5.96,4.85,2.55,0.59
58.12,1.22,16.35,6.71,0.8,3.2,5.9,4.95,2.65,0.52
58.33,1.12,17.7,6.54,0.7,2.96,5.99,4.69,2.71,0.49
58.3,1.25,16.96,6.73,0.08,2.85,5.99,4.81,2.26,0.51
57.6,1.22,16.9,6.49,0.09,2.92,5.89,4.91,2.54,0.59
59.4,1.16,16.25,6.21,0.7,2.56,5.34,5.5,2.69,0.43
60.5,1.14,16.98,6.14,0.08,2.44,5.27,4.77,2.63,0.48
57.08,1.28,16.96,6.84,0.09,2.84,6.05,4.89,2.37,0.61
57.6,1.25,16.9,6.74,0.09,2.94,6.01,4.94,2.54,0.56
