Ba,Ce,Cr,Cs,Dy,Er,Eu,Ga,Gd,Hf,Ho,La,Lu,Nb,Nd,Pr,Rb,Sm,Sn,Sr,Ta,Tb,Th,Tm,U,V,W,Y,Yb,Zr,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Cd,Co,Cu,Li,Mo,Ni,Pb,Sc,Tl,Zn,AreaID
205,13.2,30,1.42,2.84,1.87,0.84,18.9,2.58,1.1,0.52,5.7,0.24,0.9,10,1.89,12.9,2.68,1,429,0.2,0.41,0.5,0.23,0.2,285,1,15.3,1.75,33,49.8,19,9.88,9.7,4.7,2.53,0.6,0.003,0.75,0.17,0.16,0.05,0.02,1.4,98.63,0.5,5,0.5,28,135,10,1,13,5,26,10,94,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,42.2,20,4.75,3.25,2.12,0.78,16.4,3.4,5.1,0.65,22.8,0.34,6.2,20.9,5.35,102,4.27,1,265,0.7,0.48,11.9,0.31,1.9,61,2,20,2.34,173,70.4,14.7,3.74,2.3,1,4.12,3.5,0.002,0.43,0.07,0.11,0.02,0.07,0.9,101.4,0.5,6,0.5,5,16,30,2,7,23,7,10,42,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,32.6,20,6.95,3.8,2.31,1.02,19.2,3.99,3.6,0.79,15.1,0.39,2.8,18,4.12,73.2,4.07,1,397,0.4,0.56,11,0.32,2,242,2,20.6,2.48,118,55.5,17.6,8.87,7.8,3.9,2.97,1.8,0.003,0.69,0.17,0.13,0.04,0.03,0.7,100.17,0.5,13,0.5,24,92,20,2,9,29,24,10,109,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,51.1,10,4.72,3.76,2.59,0.74,20.6,3.41,4,0.82,23.7,0.37,6.8,20.9,5.57,115,4.22,1,157,0.8,0.57,9.7,0.41,1.8,26,1,24,2.8,136,71.4,14.9,3.86,2.7,0.7,3.61,2.4,0.002,0.25,0.05,0.09,0.01,0.04,1.3,101.24,0.5,5,0.5,5,1,30,1,2,21,5,10,45,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.2,0.8,640,0.07,0.35,0.35,0.18,9.2,0.43,0.2,0.13,0.6,0.12,0.2,0.8,0.2,0.3,0.28,1,86,0.1,0.12,0.1,0.1,0.1,82,1,2.1,0.33,3,49.2,17.7,5.7,13.3,12.8,0.59,0,0.091,0.1,0.11,0.01,0.01,0.01,0.5,100.04,0.5,5,0.6,37,190,10,1,150,2,28,10,29,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6,60,0.07,3.26,2.46,0.72,15.2,2.74,1.6,0.68,2.1,0.33,2.8,5.7,0.96,1,2.13,1,103,0.2,0.44,0.3,0.29,0.1,317,1,18.7,2.22,46,51.1,13.5,12.45,10.3,6.3,2.24,0,0.009,0.95,0.18,0.07,0.01,0.01,1.1,98.14,0.5,5,0.7,43,113,10,1,63,2,42,10,90,subduction
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,138.5,10,0.45,6.97,3.77,2.39,25.3,7.26,20.3,1.33,59.1,0.65,116,50.6,13.85,115,9.06,4,60,7.2,1.22,6.6,0.62,0.8,15,2,30.5,3.45,845,63.4,17.8,4.67,0.9,0.5,7.32,4.8,0.002,0.44,0.3,0.23,0.01,0.05,1.5,101.93,0.5,5,0.5,1,1,30,1,1,11,7,10,142,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,59.7,110,0.45,5.54,2.92,2.35,21.3,7.12,5.3,1.07,27.5,0.38,35.2,32.5,7.67,33.9,7.39,2,637,2.3,0.97,2.5,0.45,0.9,282,1,26.6,2.54,209,47,15.7,14.25,8.6,6.4,3.88,1.3,0.016,2.73,0.19,0.43,0.07,0.05,-0.3,100.36,0.5,5,0.6,44,54,10,1,86,4,19,10,106,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.5,26.6,460,0.08,5.59,2.53,1.77,20.2,5.8,4.1,0.96,10.7,0.28,11,20.4,3.98,6.7,5.6,2,322,0.7,0.79,0.8,0.35,0.3,285,1,24.7,2.06,146,50,12.9,13.15,10.4,8.8,2.26,0.4,0.069,2.42,0.18,0.25,0.04,0.01,-0.6,100.25,0.5,5,1,49,118,10,1,201,3,29,10,109,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105.5,28.1,390,0.06,5.79,2.6,1.82,21.9,6.26,4,1.02,10.9,0.28,11,21,4.11,6.4,5.48,1,342,0.8,0.89,0.8,0.37,0.2,302,1,27.8,2.17,151,50.3,13.3,12.65,10.8,7.7,2.33,0.4,0.058,2.39,0.18,0.24,0.04,0.01,-0.7,99.7,0.5,5,1.1,45,128,10,1,137,2,30,10,107,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,27.9,250,0.09,5.22,2.55,1.79,21.2,6.09,4.1,0.92,11.1,0.25,12.1,19.1,3.93,6.6,5.55,1,327,0.8,0.88,0.8,0.3,0.3,305,1,27.1,2.06,143,50.5,13.5,13.15,10.6,7,2.39,0.4,0.037,2.39,0.19,0.22,0.04,0.01,-1.1,99.23,0.5,5,1,44,134,10,1,84,2,30,10,107,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,150,10,0.24,10,5.13,4.33,21.2,12.3,14.3,1.67,72.1,0.57,88.6,79.5,19.1,64,14.75,3,1350,5.1,1.65,6.6,0.62,2.4,6,2,50.7,4.35,655,59,18.2,7.24,2.8,1.1,7.31,3,0.002,1.05,0.25,0.71,0.16,0.11,0.3,101.23,0.5,6,0.5,4,1,10,1,2,7,2,10,127,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.8,21.4,560,0.04,4.37,2.48,1.49,18.8,5.09,3.3,0.81,8.4,0.26,7.8,16,3.14,4.5,4.37,1,270,0.6,0.73,0.5,0.29,0.2,280,1,23.5,1.98,120,48.7,12.3,12.7,9.2,10.5,1.91,0.3,0.083,1.93,0.18,0.21,0.03,0.01,0.5,98.52,0.5,5,0.9,53,100,10,1,299,2,27,10,106,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.8,24.7,240,0.07,4.98,2.57,1.74,20.1,5.46,3.4,0.94,9.6,0.29,8.7,18.4,3.53,6.6,4.74,1,343,0.7,0.81,0.6,0.31,0.2,294,1,25.8,1.93,128,50.9,13.5,12.15,10.4,6.9,2.35,0.4,0.035,2.03,0.17,0.25,0.04,0.01,-0.6,98.42,0.5,5,0.9,43,131,10,1,113,2,29,10,109,plume
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90.2,23.3,400,0.05,4.53,2.14,1.4,17.3,4.94,3,0.74,9.1,0.23,8.8,16.2,3.31,5.6,4.7,1,314,0.6,0.76,0.6,0.27,0.2,256,1,22.2,1.77,115,51,13.2,12.6,10.2,9.1,2.3,0.4,0.066,2.01,0.18,0.23,0.04,0.01,-0.7,100.56,0.5,5,0.8,49,113,10,1,179,2,27,10,104,plume
