SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O_105G_C,LOI,PC,Li,Sc,V,Co,Cr,Ni,Cu,Mo,Zn,W,Rb,Sr,Y,Nb,Zr,Cs,Cd,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Lu,Yb,Hf,Ta,Pb,Th,U,Au,In,Sn,Ag,Ge,As,Bi,Tl,Be,Ga,S,Sb,B,87_86Sr,Sr_error,143_144Nd,Nd_error,206_204Pb,206Pb_error,207_204Pb,207Pb_error,208_204Pb,208Pb_error,18O,edad_geol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8747,,15.6942,,38.7636,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.885,,15.6726,,38.7069,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8928,,15.6726,,38.7227,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9126,,15.689,,38.7835,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9211,,15.6951,,38.8118,,,AlbianoSuperior
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9325,,15.7025,,38.8548,,,AlbianoSuperior
74.6,0,12.7,1.59,,0,0.5,0.4,3.9,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
75,,13.4,1.23,,0.1,0.1,0.6,3.9,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
55.7,1.5,16.8,2.3,6,0.1,2.5,4,4.4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
69.6,0.4,14.4,0.63,2.1,0,0.8,1,4.4,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
66.9,0.6,15.2,1.25,1.6,0,1.3,1.7,5.4,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
74.8,0.2,13.8,1.88,,0.1,0.4,1.5,3.4,3.6,0.1,,0.6,,,4,16,68,21,5,7,,29,,150,135,19,11,104,,,1159,38.7,66.8,5,21.3,3.7,0.7,3.6,0.5,3,0.7,1.7,0.3,0.3,1.9,8,,34,16,2,,,,,,7,,,,15,3,,,,,,,18.5,,15.7,,38.4,,,Carbonifero
55.2,1.1,17,7.89,,0.1,3.9,4.4,3.5,4.6,0.5,,2.1,,,55.2,1.1,17,,7.9,,,0.1,,3.5,3.9,2.1,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
54.5,1.4,16.7,9.24,,0.1,3.7,5.8,3.5,1.5,0.4,,3.4,,,54.5,1.4,16.7,,9.2,,,0.1,,3.5,3.7,3.4,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
47.5,0.6,10.2,9.27,,0.1,17.6,8.2,1,0.8,0.1,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,Carbonifero
51.4,1,12.8,8.66,,0.2,6.3,8.9,2.1,1.4,0.1,,7.7,,,51.4,1,12.8,,8.7,,,0.2,,2.1,6.3,7.7,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7104,,,,,,,,,,,Carbonifero
70,0.4,15.3,3.69,,0.1,1,2.4,3.4,3.6,0.1,,,,,4,44,75,68,5,7,,48,,130,247,23,8,139,,,700,24,45.4,4.1,20.2,4.5,1.1,4.4,0.7,3.9,0.9,2.3,0.3,0.3,2.1,7,,34,10.7,1.3,,,,,,4,,,,20,3,,,,,,,,,,,,,,Carbonifero
55.7,1.3,17.5,9.3,,0.2,3.4,7.2,2.9,2.1,0.4,,,,,23,168,48,37,6,15,,97,,70,268,43,12,211,,,650,32.5,74.5,7.2,38.9,8.8,2,8.3,1.3,7.8,1.6,4.5,0.7,0.6,4.1,9,,15,7.5,1.2,,,,,,3,,,,21,107,,,0.7,,,,18.6,,15.6,,38.4,,,Carbonifero
67.7,0.6,15.8,4.6,,0.1,1.2,3.8,4.2,1.9,0.2,,,,,13,53,74,23,3,7,,61,,76,215,34,15,251,,,607,54.2,104,8.6,40.3,7.6,1.5,7.5,1.2,6.3,1.3,3.5,0.5,0.4,3,6,,18,14.7,1.8,,,,,,8,,,,18,3,,,,,,,18.5,,15.6,,38.3,,,Carbonifero
73,0.2,14.5,1.99,,0,0.4,2.1,3.6,4.2,0.1,,,,,3,15,124,10,3,7,,36,,128,169,16,9,142,,,1349,31.4,61.4,5.2,24.9,4.7,1.2,4,0.5,2.9,0.6,1.7,0.3,0.3,1.7,10,,24,12.8,1.6,,,,,,3,,,,20,3,,,0.7,,,,18.5,,15.7,,38.4,,,Carbonifero
53.3,0.7,11.3,7.5,,0.2,10.1,10.1,1.8,1.1,0.1,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
50.6,1.8,18.3,12.37,,0.2,4,7.3,5.1,0.3,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
48.7,1.5,16.8,11.98,,0.3,6.8,9.6,3.3,0.8,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
64,0.8,17.6,6.11,,0.1,1.4,1,1.3,4.3,0.2,,3.3,,,64,0.8,17.6,,6.1,,,0.1,,1.3,1.4,3.3,12,211,,,0.2,,,,,,,,,,,,,,,,,15,2,2,,,,,,,,,,21,,,,0.72384,,,,19.315,,15.695,,38.824,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
66.7,0.5,16.7,4.27,,0.1,1,3.9,4.3,2.3,0.1,,,,,11,50,53,22,4,9,,65,,98,232,30,11,239,,,712,53.9,104,8.3,38.7,7.2,1.7,6.7,1,5.5,1.1,3.2,0.4,0.4,2.8,12,,18,13.5,1.9,,,,,,3,,,,19,45,,,0.7,,,,18.5,,15.6,,38.2,,,Carbonifero
61.8,1.1,18.2,4.46,,0,0.8,0,0.9,4.1,0.1,,4.9,,,61.8,1.1,18.2,,4.5,,,0,,0.9,0.8,4.9,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.842,,15.817,,39.112,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71459,,,,,,,,,,,Carbonifero
74.6,0.2,13.5,2.13,,0,0.4,0.8,3.9,3.6,0,,1.2,,,74.6,0.2,13.5,,2.1,,,0,,3.9,0.4,1.2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72202,,,,18.881,,15.704,,38.767,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71314,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71236,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71243,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71428,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70961,,,,,,,,,,,Carbonifero
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
76.7,0.1,12.2,1.48,,0,0.2,0.3,2,5.6,0.1,,,,28,6.1,16,1.5,157,11,15,6,22,4,247.3,57.2,7.3,19,45.6,4.3,,230.8,4,9.7,1.2,5.5,1.4,0.1,1,0.3,2.1,0.5,1.3,0.2,0.2,1.4,3,0.5,8,3,2.7,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
68.3,0.5,14.3,3.56,,0.1,1.6,2.1,3.2,3.3,0.2,,,,55,15.4,86,7.7,251,13,16,,123,,109,213.7,19.6,19,32,1.6,0.2,455.4,27.6,58,7.1,32.7,5.4,0.9,4.3,0.7,3.8,0.8,1.8,0.3,0.2,1.6,1,1.1,104,8.6,1,,,,,,,,,,,,,,,,,,,,,,,,,Carbonifero
61.7,0.6,17.5,4.9,,0.1,2.2,4.3,3.9,3.1,0.2,,1.3,,11.7,11.7,88.4,8.8,114,9.3,16.2,2.3,2252.7,1.7,115.4,381.9,23.4,16.4,196.2,2,2.4,786,44.5,85.2,8.3,35.6,6.7,1.6,6.3,0.7,5.2,,2.8,0.3,0.3,2.5,0.6,3.3,74.2,12.7,2.4,,0.1,2.1,0.2,,28.9,0.5,0.6,2.3,16.2,,0.6,,,,,,,,,,,,,Carbonifero
